"The Brain from Planet Arous"	"0050210"
"The Brain That Wouldn't Die"	"0052646"
"Braindead"	"4877736"
"Brainscan"	"0109327"
"Bram Stoker's Dracula"	"0103874"
"Breathing Room"	"1220706"
"Bride of the Monster"	"0047898"
"The Broken"	"0906734"
"The Brood"	"0078908"
"Brotherhood of the Wolf"	"0237534"
"Bruiser"	"0212830"
"The Brute Man"	"0038387"
"Bubba Ho Tep"	"0281686"
"A Bucket of Blood"	"0052655"
"Bug!"	"0913365"
"Burial Ground: The Nights of Terror"	"0081248"
"The Burning"	"0082118"
"The Burning Moon"	"0103898"
"Burnt Offerings"	"0074258"
"The Burrowers"	"0445939"
"The Bye Bye Man"	"4030600"
"Cabin by the Lake"	"0199389"
"Cabin Fever"	"0303816"
"The Cabin in the Woods"	"1259521"
"The Cabinet of Dr. Caligari"	"0010323"
"Campfire Tales (1991)"	"0101538"
"Campfire Tales (1997)"	"0115813"
"Candyman"	"0103919"
"Cannibal Ferox"	"0082700"
"Cannibal Holocaust"	"0078935"
"Cannibal! The Musical"	"0115819"
"Captivity"	"0374563"
"The Car"	"0075809"
"Carnival of Souls"	"0055830"
"Carnosaur"	"0106521"
"Carrie"	"0074285"
"Carrie (1976)"	"0074285"
"The Rage: Carrie 2"	"0144814"
"Carrie (2002)"	"0319970"
"Carrie (2013)"	"1939659"
"Carriers"	"0806203"
"Carver"	"1001333"
"Case 39"	"0795351"
"The Cat and the Canary"	"0031143"
"The Cat o' Nine Tails"	"0065761"
"Cat People"	"0083722"
"Cat's Eye"	"0088889"
"The Cave"	"0402901"
"The Cavern"	"0059022"
"The Cell"	"0209958"
"Cemetery Man"	"0109592"
"Chain Letter"	"1148200"
"The Changeling"	"0080516"
"Chemical Wedding"	"0974536"
"Cheerleader Camp"	"0092744"
"Chernobyl Diaries"	"1991245"
"Cherry Falls"	"0175526"
"The Children"	"1172571"
"Child's Play"	"0094862"
"Child's Play 2"	"0099253"
"Child's Play 3"	"0103956"
"Bride of Chucky"	"0144120"
"Seed of Chucky"	"0387575"
"Curse of Chucky"	"2230358"
"Children of the Corn"	"0087050"
"Children of the Corn (1984)"	"0087050"
"Children of the Corn II: The Final Sacrifice"	"0106557"
"Children of the Corn III: Urban Harvest"	"0109415"
"Children of the Corn IV: The Gathering"	"0115885"
"Children of the Corn V: Fields of Terror"	"0150111"
"Children of the Corn 666: Isaac's Return"	"0177625"
"Children of the Corn: Revelation"	"0279730"
"Children of the Corn (2009)"	"1290135"
"Children of the Corn: Genesis"	"1745672"
"Children of the Night"	"2945892"
"Chinese Ghost Story"	"0093978"
"Chopping Mall"	"0090837"
"Christine"	"4666726"
"Christmas Evil"	"0081793"
"C.H.U.D."	"0087015"
"The Church"	"0094860"
"City of the Dead"	"0053719"
"City of the Living Dead"	"0081318"
"Class of Nuke 'Em High"	"0090849"
"Clawed: The Legend of Sasquatch"	"0364616"
"Clonus"	"0078062"
"Cloverfield"	"1060277"
"Clown"	"1780798"
"Club Dread"	"0331953"
"Cold Fish"	"1632547"
"Cold Prey"	"0808276"
"Colin"	"1278322"
"The Collector"	"0844479"
"The Company of Wolves"	"0087075"
"Come Out and Play"	"2341664"
"Confessions"	"1590089"
"The Conjuring"	"1457767"
"The Conspiracy"	"2330322"
"Contamination"	"0082000"
"Cornered!"	"1151911"
"Countess Dracula"	"0065580"
"The Covenant"	"0475944"
"The Craft"	"0115963"
"The Crawling Eye"	"0052320"
"The Crawling Hand"	"0056961"
"Crawlspace"	"0090881"
"The Crazies"	"0455407"
