Watchmen	0409459	107503316
A League of Their Own	0104694	107458785
Captain Phillips	1535109	107100855
Black Swan	0947798	106952327
Chicken Run	0120630	106793915
Indecent Proposal	0107211	106614100
Driving Miss Daisy	0097239	106593296
Love Story	0066011	106400000
Kramer vs. Kramer	0079417	106300000
Interview with the Vampire: The Vampire Chronicles	0110148	105264608
Robin Hood	0955308	105219735
Phenomenon	0117333	104632573
The Graduate	0061722	104397102
Road to Perdition	0257044	104054514
Dreamgirls	0443489	103338338
Jaws 2	0077766	102922376
Bambi	0034492	102797150
The General's Daughter	0144214	102678089
The Aviator	0338751	102608827
The Girl with the Dragon Tattoo	1568346	102515793
In the Line of Fire	0107206	102314283
Butch Cassidy and the Sundance Kid	0064115	102308900
Sleeping with the Enemy	0102945	101580000
Eraser	0116213	101228120
The Prince of Egypt	0120794	101217900
Noah	1959490	101160529
Unforgiven	0105695	101157447
Contact	0118884	100853835
The Pelican Brief	0107798	100768056
Arrival	2543164	100501349
The Rugrats Movie	0134067	100491683
Airport	0065377	100489150
Due Date	1231583	100448498
Million Dollar Baby	0405159	100422786
Shakespeare in Love	0138097	100241322
Se7en	0114369	100125340
The Hunchback of Notre Dame	0116583	100117603
Parenthood	0098067	100050000
Passengers	1355644	100014092
Collateral	0369339	100003492
Public Enemies	1152836	97030725
The Social Network	1285016	96917897
Schindler's List	0108052	96067179
Dead Poets Society	0097165	95860116
Zero Dark Thirty	1790885	95720716
Cold Mountain	0159365	95632614
Michael	0117038	95345070
Sex and the City 2	1261945	95328937
Panic Room	0258000	95308367
42	0453562	95001343
Unbreakable	0217869	94999143
Flashdance	0085549	94900000
The Book of Eli	1037705	94822707
10,000 BC	0443649	94770548
Beverly Hills Chihuahua	1014775	94497271
Saturday Night Fever	0076666	94213184
The Color Purple	0088939	94175854
Julie & Julia	1135503	94125426
He's Just Not That Into You	1001508	93952276
Master and Commander: The Far Side of the World	0311113	93926386
Maid in Manhattan	0252076	93815117
Flight	1907668	93749203
Lady and the Tramp	0048280	93600000
The Fighter	0964517	93571803
The Bucket List	0825232	93452056
The Poseidon Adventure	0069113	93300000
Elysium	1535108	93050117
Red Dragon	0289765	92930005
When Harry Met Sally...	0098635	92823600
The Town	0840361	92173235
The Client	0109446	92115211
Star Trek: First Contact	0117731	92001027
Heaven Is for Real	1929263	91443253
Crimson Tide	0112740	91400000
The Imitation Game	2084970	91121452
Save the Last Dance	0206275	91038276
Stepmom	0120686	91030827
The Karate Kid	0087538	90800000
High School Musical 3: Senior Year	0962726	90556401
Madea Goes to Jail	1142800	90485233
Mystic River	0327056	90135191
Flightplan	0408790	89706988
Inside Man	0454848	88504640
The Hand That Rocks the Cradle	0104389	88036683
Miss Peregrine's Home for Peculiar Children	1935859	87240689
Out of Africa	0089755	87100000
The Accountant	2140479	86198014
Annie	1823664	85911262
Fury	2713180	85707116
Real Steel	0433035	85463309
Dangerous Minds	0112792	84919401
Crazy, Stupid, Love.	1570728	84244877
The X Files	0120902	83892374
