Carrie	1939659	35266619
The Mothman Prophecies	0265349	35228696
Jeepers Creepers II	0301470	35143332
Ghoulies	0089200	35000000
Ouija: Origin of Evil	4361050	34904885
Freddy's Dead: The Final Nightmare	0101917	34872293
Texas Chainsaw 3D	1572315	34334256
The Relic	0120004	33927476
Dreamcatcher	0285531	33685268
Devil	1314655	33583175
Halloween II	1311067	33386128
Child's Play	0094862	33244684
The Rite	1161864	33037754
Dracula 2000	0219653	33000377
The Last House on the Left	0844708	32721635
Friday the 13th: The Final Chapter	0087298	32600000
Paranormal Activity: The Marked Ones	2473682	32453345
Bride of Chucky	0144120	32368960
The Lost Boys	0093437	32222567
Darkness Falls	0282209	32131483
The Lawnmower Man	0104692	32101000
House of Wax	0397065	32048809
Psycho	0054215	32000000
Psycho II	0086154	32000000
Lake Placid	0139414	31768374
Quarantine	1082868	31691811
House at the End of the Street	1582507	31607598
From Hell	0120681	31598308
Unfriended	3713166	31537320
Anacondas: The Hunt for the Blood Orchid	0366174	31526393
The Eye	0406759	31397498
The Mortal Instruments: City of Bones	1538403	31165421
Crimson Peak	2554274	31056945
The Texas Chain Saw Massacre	0072271	30859000
Mirrors	0790686	30691439
Predator 2	0100403	30669413
Sleepwalkers	0105428	30524763
Deliver Us from Evil	2377322	30523568
Open Water	0374102	30500882
Queen of the Damned	0238546	30307804
Halloween: Resurrection	0220506	30259652
Life	5442430	30180466
Ghost Ship	0288477	30079316
A Nightmare on Elm Street 2: Freddy's Revenge	0089686	30000000
Daybreakers	0433362	29975979
When the Bough Breaks	1389139	29703843
See full summary	0432291	29511112
The Twilight Zone	0052520	29500000
Bless the Child	0163983	29374178
Priest	0822847	29136626
See full summary	0204626	28927720
28 Weeks Later	0463854	28637507
The Uninvited	0815245	28573173
Child's Play 2	0099253	28501605
Doom	0419706	28031250
Rings	0498381	27766716
Sinister 2	2752772	27736779
Oculus	2388715	27689474
Saw VI	1233227	27669413
The Island of Dr. Moreau	0116654	27663982
One Missed Call	0479968	26876529
Resident Evil: The Final Chapter	2592614	26844692
Event Horizon	0119081	26616590
The Forest	3387542	26583369
An American Werewolf in Paris	0118604	26521435
A Nightmare on Elm Street	0087800	26505000
The Woman in Black 2: Angel of Death	2339741	26496583
The Blair Witch Project	0185937	26421314
Jacob's Ladder	0099871	26118851
The Exorcist III	0099528	26098824
The Descent	0435625	26005908
Shutter	0482599	25926543
The Lazarus Effect	2918436	25799043
Candyman	0103919	25792310
From Dusk Till Dawn	0116367	25753840
The Mist	0884328	25592632
Halloween II	0082495	25500000
Dark Water	0382628	25472967
Mimic	0119675	25454187
The VVitch: A New-England Folktale	4263482	25138292
The Reaping	0444682	25117498
Grindhouse	0462322	25031037
Piranha 3D	0464154	25003072
Altered States	0080360	25000000
The Craft	0115963	24881000
The People Under the Stairs	0105121	24204154
Don't Be Afraid of the Dark	1270761	24042490
House of Wax	0045888	23750000
The Wicker Man	0450345	23643531
The Covenant	0475944	23292105
Stay Alive	0441796	23078294
Beloved	0120603	22843047
The Gallows	2309260	22757819
The First Power	0099578	22424195
The Bye Bye Man	4030600	22377458
A Nightmare on Elm Street 5: The Dream Child	0097981	22168359
Darkness	0273517	22160085
Mary Shelley's Frankenstein	0109836	22024639
Urban Legends: Final Cut	0192731	21468807
The Darkest Hour	1093357	21426805
Psycho	0155975	21380220
The Fog	0080749	21378000
Raising Cain	0105217	21370057
Friday the 13th: A New Beginning	0089173	21300000
Christine	0085333	21200000
Cujo	0085382	21200000
As Above, So Below	2870612	21197315
Cabin Fever	0303816	21156247
Stir of Echoes	0164181	21133087
