"movie"	"IMDb_id"	"gross"	"budget"	"roi"	"release_date"
"Sex and the City"	1000774	152637269	65000000	2.3482656769230768	"2008-05-30"
"La La Land"	3783958	151058124	30000000	5.0352708	"2016-12-25"
"American Hustle"	1800241	150117807	40000000	3.752945175	"2013-12-20"
"Les Misérables"	1707386	148775460	61000000	2.4389419672131147	"2012-12-25"
"Gran Torino"	1205489	148085755	33000000	4.487447121212122	"2009-01-09"
"As Good as It Gets"	"0119822"	147637474	50000000	2.95274948	"1997-12-25"
"Lilo & Stitch"	"0275847"	145771527	80000000	1.8221440875	"2002-06-21"
"The Santa Clause"	"0111070"	144833357	22000000	6.583334409090909	"1994-11-11"
"The Great Gatsby"	1343092	144812796	105000000	1.3791694857142858	"2013-05-10"
"I, Robot"	"0343818"	144795350	120000000	1.2066279166666667	"2004-07-16"
"Juno"	"0467406"	143492840	7500000	19.132378666666668	"2007-12-25"
"Marley & Me"	"0822832"	143151473	60000000	2.3858578833333333	"2008-12-25"
"Pocahontas"	"0114148"	141600000	55000000	2.5745454545454547	"1995-06-23"
"A Few Good Men"	"0104257"	141340178	40000000	3.53350445	"1992-12-11"
"Slumdog Millionaire"	1010048	141319195	15000000	9.421279666666667	"2008-12-25"
"Deep Impact"	"0120647"	140459099	75000000	1.8727879866666666	"1998-05-08"
"The King's Speech"	1504320	138795342	15000000	9.2530228	"2010-12-25"
"Good Will Hunting"	"0119217"	138339411	10000000	13.8339411	"1998-01-09"
"Platoon"	"0091763"	137963328	6000000	22.993888	"1987-02-06"
"A Christmas Carol"	1067106	137850096	200000000	0.68925048	"2009-11-06"
"Click"	"0389860"	137340146	70000000	1.9620020857142857	"2006-06-23"
"The Green Mile"	"0120689"	136801374	60000000	2.2800229	"1999-12-10"
"Argo"	1024648	136019448	44500000	3.056616808988764	"2012-10-12"
"Patch Adams"	"0129290"	135014968	90000000	1.5001663111111112	"1998-12-25"
"The Godfather"	"0068646"	134821952	6000000	22.470325333333335	"1972-03-24"
"Superman"	"0078346"	134218018	55000000	2.4403276	"1978-12-15"
"The Departed"	"0407887"	132373442	90000000	1.4708160222222222	"2006-10-06"
"Silver Linings Playbook"	1045658	132088910	21000000	6.2899480952380955	"2012-12-25"
"Minority Report"	"0181689"	132014112	102000000	1.294256	"2002-06-21"
"The Silence of the Lambs"	"0102926"	130727000	19000000	6.880368421052632	"1991-02-14"
"American Gangster"	"0765429"	130127620	100000000	1.3012762	2007
"American Beauty"	"0169547"	130058047	15000000	8.670536466666666	"1999-10-01"
"An Officer and a Gentleman"	"0084434"	129795554	7500000	17.306073866666665	"1982-08-13"
"Close Encounters of the Third Kind"	"0075860"	128300000	20000000	6.415	"1977-12-14"
"Into the Woods"	2180411	127997349	50000000	2.55994698	"2014-12-25"
"Rocky IV"	"0089927"	127900000	30000000	4.263333333333334	"1985-11-27"
"The Curious Case of Benjamin Button"	"0421715"	127490802	150000000	0.84993868	"2008-12-25"
"My Best Friend's Wedding"	"0119738"	126805112	46000000	2.7566328695652174	"1997-06-20"
"Sleepless in Seattle"	"0108160"	126670704	21000000	6.031938285714285	"1993-06-25"
"The Legend of Tarzan"	"0918940"	126585313	180000000	0.7032517388888889	"2016-07-01"
"The Truman Show"	"0120382"	125603360	60000000	2.0933893333333335	"1998-06-05"
"Erin Brockovich"	"0195685"	125548685	52000000	2.4143977884615384	"2000-03-17"
"Terminator Salvation"	"0438488"	125320003	200000000	0.626600015	"2009-05-21"
"Lone Survivor"	1091191	125069696	40000000	3.1267424	"2014-01-10"
"Sully"	3263904	125065700	60000000	2.0844283333333333	"2016-09-09"
"The Vow"	1606389	125014030	30000000	4.167134333333333	"2012-02-10"
"Life of Pi"	"0454876"	124976634	120000000	1.04147195	"2012-11-21"
"The Fault in Our Stars"	2582846	124868837	12000000	10.405736416666667	"2014-06-06"
"The Devil Wears Prada"	"0458352"	124732962	35000000	3.5637989142857145	"2006-06-30"
