"movie"	"IMDb_id"	"gross"	"budget"	"roi"	"release_date"
"Death Becomes Her"	"0104070"	58422650	55000000	1.06223	"1992-07-31"
"Halloween"	"0373883"	58267261	15000000	3.8844840666666665	"2007-08-31"
"Pet Sematary"	"0098084"	57469179	11500000	4.997319913043478	"1989-04-21"
"Saw V"	1132626	56729973	10800000	5.252775277777777	"2008-10-24"
"Dracula Untold"	"0829150"	55942830	70000000	0.7991832857142858	"2014-10-10"
"White Noise"	"0375210"	55865715	10000000	5.5865715	"2005-01-07"
"Hansel & Gretel: Witch Hunters"	1428538	55682070	50000000	1.1136414	"2013-01-25"
"Alien³"	"0103644"	55473600	50000000	1.109472	"1992-05-22"
"The Haunting in Connecticut"	"0492044"	55325526	10000000	5.5325526	"2009-03-27"
"Saw"	"0387564"	55153403	1200000	45.961169166666664	"2004-10-29"
"The Shallows"	4052882	55121623	17000000	3.242448411764706	"2016-06-24"
"Halloween H20: 20 Years Later"	"0120694"	55004135	17000000	3.2355373529411766	"1998-08-05"
"Spawn"	"0120177"	54967359	40000000	1.374183975	"1997-08-01"
"The Omen"	"0466909"	54606189	25000000	2.18424756	"2006-06-06"
"The Woman in Black"	1596365	54322273	17000000	3.195427823529412	"2012-02-03"
"Evil Dead"	1288558	54239856	17000000	3.1905797647058822	"2013-04-05"
"Final Destination 3"	"0414982"	54098051	25000000	2.16392204	"2006-02-10"
"Insidious"	1591095	53991137	1500000	35.99409133333333	"2011-04-01"
"Paranormal Activity 4"	2109184	53884821	5000000	10.7769642	"2012-10-19"
"Final Destination"	"0195714"	53302314	23000000	2.317491913043478	"2000-03-17"
"The Devil Inside"	1560985	53245055	1000000	53.245055	"2012-01-06"
"Arachnophobia"	"0099052"	53133888	31000000	1.7139963870967743	"1990-07-18"
"Sweeney Todd: The Demon Barber of Fleet Street"	"0408236"	52882759	50000000	1.05765518	"2007-12-21"
"King Kong"	"0074751"	52600000	24000000	2.191666666666667	"1976-12-17"
"The Strangers"	"0482606"	52534295	10000000	5.2534295	"2008-05-30"
"Blade: Trinity"	"0359013"	52397389	65000000	0.8061136769230769	"2004-12-08"
"Insidious: Chapter 3"	3195644	52200504	10000000	5.2200504	"2015-06-05"
"My Bloody Valentine"	1179891	51527787	15000000	3.4351858	"2009-01-16"
"Hide and Seek"	"0382077"	51097664	30000000	1.7032554666666666	"2005-01-28"
"Ouija"	1204977	50820940	5000000	10.164188	"2014-10-24"
"Resident Evil: Apocalypse"	"0318627"	50740078	45000000	1.127557288888889	"2004-09-10"
"Resident Evil: Extinction"	"0432021"	50648679	45000000	1.1255262	"2007-09-21"
"Stigmata"	"0145531"	50041732	29000000	1.7255769655172415	"1999-09-10"
"A Nightmare on Elm Street 4: The Dream Master"	"0095742"	49369900	13000000	3.7976846153846155	"1988-08-19"
"The Possession"	"0431021"	49122319	14000000	3.5087370714285715	"2012-08-31"
"Sinister"	1922777	48056940	3000000	16.01898	"2012-10-12"
"When a Stranger Calls"	"0455857"	47860214	15000000	3.1906809333333332	"2006-02-03"
"The Skeleton Key"	"0397101"	47806295	43000000	1.1117743023255815	"2005-08-12"
"Alien: Resurrection"	"0118583"	47748610	75000000	0.6366481333333334	"1997-11-26"
"Poltergeist"	1029360	47415690	35000000	1.354734	"2015-05-22"
"Hostel"	"0450278"	47277326	4800000	9.849442916666666	"2006-01-06"
"Halloween"	"0077651"	47000000	300000	156.66666666666666	"1978-10-25"
"Silent Hill"	"0384537"	46982632	50000000	0.93965264	"2006-04-21"
"Final Destination 2"	"0309593"	46455802	26000000	1.7867616153846153	"2003-01-31"
"Boogeyman"	"0357507"	46363118	20000000	2.3181559	"2005-02-04"
"Saw 3D: The Final Chapter"	1477076	45670855	20000000	2.28354275	"2010-10-29"
"28 Days Later..."	"0289043"	45063889	8000000	5.632986125	"2003-06-27"
"A Nightmare on Elm Street 3: Dream Warriors"	"0093629"	44793200	4500000	9.954044444444444	"1987-02-27"
"The Good Son"	"0107034"	44594000	17000000	2.6231764705882354	"1993-09-24"
"Prom Night"	"0926129"	43818159	20000000	2.19090795	"2008-04-11"
"The Unborn"	1139668	42638165	16000000	2.6648853125	"2009-01-09"
"Krampus"	3850590	42592530	15000000	2.839502	"2015-12-04"
"Final Destination 5"	1622979	42575718	40000000	1.06439295	"2011-08-12"
"Resident Evil: Retribution"	1855325	42345531	65000000	0.6514697076923077	"2012-09-14"
"Jaws 3-D"	"0085750"	42200000	20500000	2.0585365853658537	"1983-07-22"
"Drag Me to Hell"	1127180	42057340	30000000	1.4019113333333333	"2009-05-29"
"The Cabin in the Woods"	1259521	42043633	30000000	1.4014544333333334	"2012-04-13"
"Thir13en Ghosts"	"0245674"	41867960	42000000	0.9968561904761905	"2001-10-26"
"Exorcist: The Beginning"	"0204313"	41814863	50000000	0.83629726	"2004-08-20"
"Aliens vs. Predator: Requiem"	"0758730"	41797066	40000000	1.04492665	"2007-12-25"
