Chicken Little	0371606	135381507	150000000	0.90254338	2005-11-04
Alvin and the Chipmunks: Chipwrecked	1615918	133103929	75000000	1.7747190533333332	2011-12-16
Rio 2	2357291	131536019	103000000	1.2770487281553398	2014-04-11
The Peanuts Movie	2452042	130174897	99000000	1.3148979494949495	2015-11-06
Robots	0358082	128200012	75000000	1.7093334933333333	2005-03-11
Enchanted	0461770	127706877	85000000	1.5024338470588234	2007-11-21
Bee Movie	0389790	126597121	150000000	0.8439808066666666	2007-11-02
Cloudy with a Chance of Meatballs	0844471	124870275	100000000	1.24870275	2009-09-18
Rango	1192628	123207194	135000000	0.9126458814814815	2011-03-04
The Good Dinosaur	1979388	123070338	200000000	0.61535169	2015-11-25
Mulan	0120762	120618403	90000000	1.3402044777777777	1998-06-19
Cloudy with a Chance of Meatballs 2	1985966	119793567	78000000	1.5358149615384615	2013-09-27
G-Force	0436339	119420252	150000000	0.7961350133333334	2009-07-24
Bolt	0397892	114053579	150000000	0.7603571933333333	2008-11-21
Mr. Peabody & Sherman	0864835	111505642	145000000	0.7690044275862069	2014-03-07
The Little Mermaid	0097757	109859444	40000000	2.7464861	1989-11-17
Hop	1411704	108012170	63000000	1.7144788888888889	2011-04-01
Epic	0848537	107515297	100000000	1.07515297	2013-05-24
Angry Birds	1985949	107506776	73000000	1.4726955616438355	2016-05-20
Chicken Run	0120630	106793915	45000000	2.373198111111111	2000-06-23
The Princess and the Frog	0780521	104374107	105000000	0.9940391142857142	2009-12-11
Rise of the Guardians	1446192	103400692	145000000	0.7131082206896552	2012-11-21
Bambi	0034492	102797150	0	0	1942-08-21
The Prince of Egypt	0120794	101217900	70000000	1.44597	1998-12-18
The Rugrats Movie	0134067	100491683	24000000	4.187153458333333	1998-11-20
Yogi Bear	1302067	100169068	80000000	1.25211335	2010-12-17
The Hunchback of Notre Dame	0116583	100117603	100000000	1.00117603	1996-06-21
Gnomeo & Juliet	0377981	99808609	36000000	2.772461361111111	2011-02-11
Hercules	0119282	99046791	85000000	1.1652563647058825	1997-06-27
Meet the Robinsons	0396555	97821064	150000000	0.6521404266666667	2007-03-30
Sausage Party	1700841	97661826	19000000	5.140096105263158	2016-08-12
Lady and the Tramp	0048280	93600000	4000000	23.4	1955-06-22
Antz	0120587	90646554	105000000	0.8633005142857143	1998-10-02
Space Jam	0117705	90443603	80000000	1.1305450375	1996-11-15
Planes	1691917	90282580	50000000	1.8056516	2013-08-09
The Emperor's New Groove	0120917	89296573	100000000	0.89296573	2000-12-15
Peter Pan	0046183	87400000	4000000	21.85	1953-02-05
Alvin and the Chipmunks: The Road Chip	2974918	85884815	90000000	0.9542757222222222	2015-12-18
Pokémon: The First Movie - Mewtwo Strikes Back	0190641	85744662	30000000	2.8581554	1999-11-10
The SpongeBob SquarePants Movie	0345950	85416609	30000000	2.8472203	2004-11-19
Brother Bear	0328880	85329248	128000000	0.66663475	2003-10-31
Open Season	0400717	84303558	85000000	0.9918065647058824	2006-09-29
Pinocchio	0032910	84300000	2600000	32.42307692307692	1940-02-23
Scooby-Doo 2: Monsters Unleashed	0331632	84185387	80000000	1.0523173375	2004-03-26
Atlantis: The Lost Empire	0230011	84037039	120000000	0.7003086583333333	2001-06-15
Penguins of Madagascar	1911658	83348920	132000000	0.6314312121212121	2014-11-26
Turbo	1860353	83024900	135000000	0.6149992592592592	2013-07-17
Beowulf	0442933	82161969	150000000	0.54774646	2007-11-16
Jimmy Neutron: Boy Genius	0268397	80920948	30000000	2.697364933333333	2001-12-21
The Adventures of Tintin	0983193	77564037	135000000	0.5745484222222222	2011-12-21
Rugrats in Paris: The Movie	0213203	76501438	30000000	2.5500479333333335	2000-11-17
Fantasia	0032455	76400000	2280000	33.50877192982456	1940-12-25
Garfield	0356634	75367693	35000000	2.153362657142857	2004-06-11
Coraline	0327597	75280058	60000000	1.2546676333333333	2009-02-06
The Nightmare Before Christmas	0107688	75082668	18000000	4.171259333333333	1993-10-29
Monster House	0385880	73661010	75000000	0.9821468	2006-07-21
Oliver & Company	0095776	73450885	31000000	2.369383387096774	1988-11-18
Spirit: Stallion of the Cimarron	0166813	73215310	80000000	0.915191375	2002-05-24
